T,Va
1,0.085705157
2,0.1266329956
3,0.1484832428
4,0.1599064471
5,0.1603094833
6,0.1817132017
7,0.1550232365
8,0.1690990092
9,0.1528244983
10,0.1689873982
11,0.1897419243
12,0.1956825236
13,0.2040014927
14,0.1881617117
15,0.1980284248
16,0.2071760796
17,0.2204601647
18,0.2263002829
19,0.234770082
20,0.2418837145
21,0.2331965474
22,0.2322923896
23,0.2360076165
24,0.2417154982
25,0.2369584972
26,0.2361966603
27,0.2419461843
28,0.2552850396
29,0.2527149511
30,0.2684529191
31,0.2699273225
32,0.2828563074
33,0.2898597585
34,0.2964587151
35,0.2903751233
36,0.3014070328
37,0.326869822
38,0.3274013568
39,0.3252782249
40,0.3394706272
41,0.349956476
42,0.3548191768
43,0.3633177365
44,0.3573001659
45,0.3617464951
46,0.3585550677
47,0.3727841198
48,0.3651237336
49,0.3724370063
50,0.3691112064
51,0.3714182064
52,0.3748856624
53,0.3580969091
54,0.3676486788
55,0.3675112911
56,0.3550599492
57,0.3676224204
58,0.3687242851
59,0.3798784178
60,0.3856272036
61,0.3805982018
62,0.3856899411
63,0.3914355257
64,0.3913317981
65,0.4073862425
66,0.4134740001
67,0.4154272951
68,0.4208012202
69,0.4292935293
70,0.4292163619
71,0.4296134507
72,0.4269518375
73,0.4166752512
74,0.4288625354
75,0.4320611617
76,0.4573025753
77,0.458503031
78,0.452629958
79,0.4579052429
80,0.4634559527
81,0.4621695434
82,0.4640118054
83,0.4547368427
84,0.4650605394
85,0.4553789707
86,0.4650741636
87,0.4631370682
88,0.460516735
89,0.4673781981
90,0.4690254679
91,0.4639849832
92,0.4755407599
93,0.4728751329
94,0.4748329277
95,0.4746798333
96,0.4775518209
97,0.4797564364
98,0.4681303124
99,0.4586997695
100,0.467430932
101,0.4742089287
102,0.4858720586
103,0.4899544191
104,0.4918840596
105,0.4859999823
106,0.5020932884
107,0.5031184671
108,0.5091956158
109,0.5086955505
110,0.521747312
111,0.5315999135
112,0.5165349426
113,0.4960461007
114,0.4954628646
115,0.4951927615
116,0.5009348574
117,0.5026922329
118,0.4897288019
119,0.4924169743
120,0.5003885704
121,0.4956474548
122,0.4981474247
123,0.5098371402
124,0.502115847
125,0.4991096637
126,0.5023698966
127,0.4942087066
128,0.4913409009
129,0.4907513213
130,0.5038794151
131,0.5117350001
132,0.5022128026
133,0.5190837684
134,0.5129299167
135,0.5275347768
136,0.5216588841
137,0.5316788264
138,0.5118098484
139,0.5086645206
140,0.505366221
141,0.5083514493
142,0.5091886494
143,0.5109072829
144,0.4923012268
145,0.5013626554
146,0.5167777568
147,0.5138938906
148,0.5270566947
149,0.5200480407
150,0.5260796867
151,0.5153274791
152,0.507280109
153,0.4936622692
154,0.500189435
155,0.5003113091
156,0.5109390935
157,0.5158036512
158,0.5121231203
159,0.5109750331
160,0.5081498184
161,0.4946717708
162,0.4855319835
163,0.4937651294
164,0.4924800718
165,0.5100788682
166,0.5131083468
167,0.5186502985
168,0.511906918
169,0.5084492793
170,0.5005692881
171,0.4962459942
172,0.4786285078
173,0.4878351861
174,0.4759066671
175,0.4899143687
176,0.49645554
