time,particle_in_left
0.0,1000
9.9,991
20.0,985
30.0,977
39.9,968
49.9,963
59.9,957
69.9,952
80.0,951
90.0,948
100.0,941
110.0,937
120.0,929
130.0,924
140.0,919
150.0,911
160.0,907
170.0,906
180.0,902
190.0,900
200.0,897
210.0,890
220.0,885
230.0,885
240.0,884
250.0,879
260.0,870
270.0,865
280.0,856
290.0,853
299.9,849
309.9,843
319.9,838
329.9,836
339.9,831
349.9,827
359.9,822
369.9,817
379.9,813
389.9,807
399.9,805
409.9,805
419.9,807
429.9,804
439.9,803
449.9,799
459.9,792
469.9,792
479.9,787
489.9,784
499.9,782
509.9,780
519.9,778
529.9,773
539.9,772
549.9,770
559.9,766
569.9,764
579.9,761
589.9,763
599.9,764
609.9,760
619.9,759
629.9,757
639.9,756
649.9,759
659.9,758
669.9,753
679.9,749
689.9,737
699.9,730
709.9,725
719.9,723
729.9,719
739.9,719
